key;sentence_ja;sentence_fr;sort
ううん;ううん、見なかった。;Non, je ne l'ai pas vu.;398
バス;バスで 行[い]こう。;Allons en bus.;400
土曜日[どようび];土曜日[どようび]の 夜[よる]はクラブに 行[い]きます。;Je vais en club le samedi soir.;401
パン;朝[あさ]ご 飯[はん]にはいつもパンを 食[た]べる。;Je mange toujours du pain pour le petit déjeuner.;402
カメラ;カメラが 壊[こわ]れた。;Mon appareil photo s'est cassé.;407
丸い[まるい];この 猫[ねこ]は 頭[あたま]が 丸[まる]い。;Ce chat a une tête ronde.;408
ホテル;今[いま] ホテルに 着[つ]きました。;Je viens d'arriver à l'hôtel.;413
金曜日[きんようび];銀行[ぎんこう]は 金曜日[きんようび]の 遅[おそ]くに 閉[し]まる。;La banque ferme tard le vendredi.;414
コーヒー;私[わたし]は 毎朝[まいあさ]コーヒーを 飲[の]みます。;Je bois du café tous les matins.;415
緑[みどり];この 町[まち]には 緑[みどり]がたくさんあります。;Il y a beaucoup de verdure dans cette ville.;416
漢字[かんじ];漢字[かんじ]は 中国[ちゅうごく]からきました。;Les kanjis sont venus de Chine.;417
辞書[じしょ];彼女[かのじょ]は 辞書[じしょ]をよく 使[つか]います。;Elle utilise souvent un dictionnaire.;418
吹く[ふく];今日[きょう]は 北風[きたかぜ]が 吹[ふ]いている。;Le vent du nord souffle aujourd'hui.;419
トイレ;トイレを 掃除[そうじ]しましたか。;As-tu nettoyé les toilettes ?;420
本棚[ほんだな];これはとても 大[おお]きな 本棚[ほんだな]ですね。;C'est une très grosse étagère à livres, n'est-ce pas ?;421
紅茶[こうちゃ];温[あたた]かい 紅茶[こうちゃ]が 飲[の]みたい。;Je veux boire du thé chaud.;422
二つ[ふたつ];明日、二つ会議がある。;Il y aura deux réunions demain.;423
撮る[とる];しゃしん を たくさん とりました;J'ai pris beaucoup de photos.;424
じゃ;いいね。じゃ、行こう！;Super. Allez, on y va !;425
キロ;ここから 彼女[かのじょ] の 家[いえ] まで ２ キロ あります 。;Il y a deux kilomètres d'ici jusqu'à sa maison.;426
晩[ばん];晩[ばん]ご 飯[はん]は 食[た]べましたか。;As-tu dîné ?;427
咲く[さく];桜[さくら]の 花[はな]が 咲[さ]きました。;Les fleurs de cerisier ont fleuri.;430
門[もん];8時[じ]に 学校[がっこう]の 門[もん]が 開[ひら]きます。;Le portail de l'école s'ouvre à huit heures.;431
奥さん[おくさん];彼[かれ]の 奥[おく]さんはきれいな 方[かた]です。;Sa femme est une belle personne.;432
月曜日[げつようび];月曜日[げつようび]に 会[あ]いましょう。;Rendez-vous lundi.;433
泳ぐ[およぐ];彼女[かのじょ]はダイエットのために 泳[およ]いでいる。;Elle nage pour un régime.;435
毎朝[まいあさ];私[わたし]は 毎朝[まいあさ]ジョギングをします。;Je fais du jogging tous les matins.;437
ドア;ドアを 開[あ]けてください。;Ouvre la porte s'il te plaît.;439
ニュース;夜[よる]のニュースを 見[み]ましたか。;Avez-vous vu les nouvelles du soir ?;440
外国人[がいこくじん];日本[にほん]に 住[す]む 外国[がいこく] 人[じん]が 増[ふ]えています。;Le nombre d'étrangers vivant au Japon augmente.;441
玄関[げんかん];玄関[げんかん]に 花[はな]を 飾[かざ]りました。;J'ai décoré l'entrée avec des fleurs.;442
狭い[せまい];私[わたし]の 部屋[へや]は 狭[せま]いです。;Ma chambre est petite.;443
カレー;日本ではカレーが甘いです。;Au Japon, le curry est doux.;444
脱ぐ[ぬぐ];靴[くつ]を 脱[ぬ]いでください。;Enlevez vos chaussures, s'il vous plait.;447
箸[はし];お箸つけますか？;Souhaitez-vous utiliser des baguettes ?;448
メートル;1マイルは1600メートルくらいです。;Un mile équivaut à environ 1600 mètres.;449
磨く[みがく];靴[くつ]を 磨[みが]いてください。;Polissez les chaussures s'il vous plaît.;451
塩[しお];もうちょっと 塩[しお]を 入[い]れて。;Ajoute un petit peu plus de sel.;452
財布[さいふ];会社[かいしゃ]に 財布[さいふ]を 忘[わす]れた。;J'ai oublié mon portefeuille à l'entreprise. ;453
テーブル;新[あたら]しいテーブルを 買[か]いました。;J'ai acheté une nouvelle table.;454
皿[さら];お皿を洗ってもらえませんか？;Pourriez-vous faire la vaisselle pour moi ?;456
三日[みっか];１０月[じゅうがつ] ３日[みっか]です。;C'est le trois octobre.;457
成る[なる];ぜんぶを 覚[おぼ]えるのが 難[むずか]しくなります。;Il devient difficile de se souvenir de tout.;460
何歳[なんさい];あなたは 何歳[なんさい]ですか ？;Quel âge avez-vous ?;461
タクシー;タクシーを 呼[よ]んでください。;Veuillez appeler un taxi.;462
何故[なぜ];なぜ 来[こ]なかったの？;Pourquoi n'êtes vous pas venu ?;463
洋服[ようふく];今日[きょう]は 洋服[ようふく]を 買[か]いに 行[い]きます。;Je vais acheter des vêtements occidentaux aujourd'hui.;464
スポーツ;あなたは 何[なに]かスポーツをしていますか。;Est-ce que tu fais quelque sport que ce soit ?;465
テスト;明日[あした]は 英語[えいご]のテストです。;J'ai un test d'anglais demain.;466
切符[きっぷ];東京[とうきょう]までの 切符[きっぷ]を 買[か]った。;J'ai acheté un billet pour Tokyo.;467
ボタン;ボタンを 押[お]してください。;Veuillez appuyer sur le bouton.;468
お兄さん[おにいさん];あなたのお 兄[にい]さんは 何[なん] 歳[さい]？;Quel âge a ton grand frère ?;469
お腹[おなか];お 腹[なか]が 空[す]きました。;J'ai faim.;470
毎晩[まいばん];姉[あね]は 毎晩[まいばん] 日記[にっき]を 書[か]いています。;Ma grande sœur écrit un journal tous les soirs.;471
浴びる[あびる];私[わたし]は 朝[あさ]、シャワーを 浴[あ]びます。;Je prends une douche le matin.;472
丈夫[じょうぶ];祖母[そぼ]は 体[からだ]が 丈夫[じょうぶ]だ。;Ma grand-mère a un corps robuste.;473
ラジオ;私[わたし]は 毎朝[まいあさ]ラジオを 聴[き]きます。;J'écoute la radio tous les matins.;474
レストラン;レストランでインド 料理[りょうり]を 食[た]べました。;J'ai mangé de la nourriture indienne au restaurant.;475
一匹[いっぴき];今日は魚が 一[いっ]匹[ぴき]も釣れませんでした。;Je n'ai pas pu attraper un seul poisson aujourd'hui.;477
シャツ;このシャツはアイロンが 必要[ひつよう]だ。;Cette chemise a besoin de repassage.;478
お風呂[おふろ];あなたが電話したとき、私はお風呂に入っていたのです。;J'étais dans le bain quand tu as appelé.;479
自動車[じどうしゃ];彼[かれ]は 自動車[じどうしゃ] 会社[かいしゃ]で 働[はたら]いています。;Il travaille dans une companie de véhicules.;480
牛乳[ぎゅうにゅう];私[わたし]は 毎朝[まいあさ]、 牛乳[ぎゅうにゅう]を 飲[の]む。;Je bois du lait tous les matins.;481
水曜日[すいようび];水曜日[すいようび]はバイトがあります。;Le mercredi, j'ai un travail à temps partiel.;482
お手洗い[おてあらい];お 手洗[てあら]いはどこですか。;Où est la salle de bain ?;484
砂糖[さとう];コーヒーに 砂糖[さとう]は[わ] 入[い]れますか。;Voulez-vous du sucre dans votre café ?;485
三つ[みっつ];コップを 三[みっ]つ買いました。;J'ai acheté trois verres.;486
涼しい[すずしい];夕方[ゆうがた]は 涼[すず]しくなりますよ。;Ca se rafraîchit le soir.;487
お姉さん[おねえさん];昨日[きのう]、あなたのお 姉[ねえ]さんに 会[あ]ったよ。;J'ai rencontré votre sœur aînée hier.;488
七日[なのか];9月[くがつ] ７日[なのか] のお 手紙[てがみ]、ありがとうございました。;Merci beaucoup pour votre lettre du 7 septembre.;489
厚い[あつい];その じしょ は とても あつい;Ce dictionnaire est très épais.;490
交番[こうばん];あそこの 交番[こうばん]で 道[みち]を 聞[き]きましょう。;Allons demander notre chemin à ce poste de police, là-bas.;491
スプーン;カレーライスはスプーンで 食[た]べます。;Le riz au curry se mange avec une cuillère.;492
二日[ふつか];それは １週間[いっしゅうかん] 前[まえ]、 ４月[しがつ] ２日[ふつか]に ありました。;C'était il y a une semaine, le 2 avril.;496
ゼロ;今日[きょう]の 交通[こうつう]事故[じこ]はゼロです。;Aujourd'hui, il y a eu zéro accident de la circulation.;497
カップ;水[みず]を１カップ 入[い]れてください。;Veuillez remplir d'une tasse d'eau.;499
何時[なんじ];何時[なんじ]に 行[い]きますか。;À quelle heure partez-vous ?;500
ノート;ノートを 開[ひら]いてください。;Veuillez ouvrir votre ordinateur portable / votre cahier.;501
色々[いろいろ];彼[かれ]はいろいろなことを 知[し]っている。;Il sait des choses variées (nombreuses).;503
弁当[べんとう];毎日[まいにち]、 会社[かいしゃ]に 弁当[べんとう]を 持[も]って 行[い]く。;Chaque jour, j'apporte mon panier-repas à l'entreprise.;504
鞄[かばん];その 黒[くろ]い 鞄[かばん]は 僕[ぼく]のです。;La mallette noire est la mienne.;505
エレベーター;エレベーターで 下[した]に 降[お]りましょう。;Sortons en bas par l'ascenseur.;506
封筒[ふうとう];その 手紙[てがみ]を 封筒[ふうとう]に 入[い]れた。;J'ai mis cette lettre dans une enveloppe.;507
ペット;これはうちのペットです。;C'est notre animal de compagnie.;508
良い[よい];彼は良い人です。;Il est une bonne personne.;509
図書館[としょかん];図書館[としょかん]で 料理[りょうり]の 本[ほん]を 借[か]りた。;J'ai emprunté un livre de cuisine à la bibliothèque.;510
警官[けいかん];警官が街をパトロールしている。;Le policier patrouille dans la ville.;511
ご飯[ごはん];ご飯がおいしい。;Le repas est bon.;512
ナイフ;ナイフで 手[て]を 切[き]った。;Je me suis coupé la main avec un couteau.;513
寒い[さむい];あなたの部屋は寒いですか？;Votre chambre est-elle froide ?;514
テープ;そのテープを聞きましょう。;Écoutons cette cassette.;515
プール;私[わたし]は 夏休[なつやす]みにプールに 行[い]った。;Je suis allé à la piscine pendant les vacances d'été.;516
池[いけ];池[いけ]に 鯉[こい]がいます。;Il y a des carpes dans l'étang.;517
散歩[さんぽ];彼女は今朝お父さんと散歩した。;Elle s'est promenée avec son père ce matin.;519
どうも;気にかけていただいてどうも。;Merci beaucoup de vous en soucier.;520
閉まる[しまる];お 店[みせ]はもう 閉[し]まっていました。;Le magasin était déjà fermé.;521
コップ;私[わたし]は 毎朝[まいあさ]コップ 一杯[いっぱい]の 水[みず]を 飲[の]む。;Je bois un verre d'eau tous les matins.;522
掃除[そうじ];トイレを掃除しましたか。;As-tu nettoyé les toilettes ?;523
でも;今日は学校がある。でも、病気で行けなかった。;Aujourd'hui, il y avait école. Mais parce que j'étais malade, je n'ai pas pu y aller.;525
フォーク;フォークをもらえますか。;Puis-je avoir une fourchette ?;526
失礼ですが[しつれいですが];失礼ですがどなたでしょうか。;Excusez-moi, mais qui êtes-vous ?;527
では;では 今晩[こんばん]またね、さようなら。;Alors, rendez-vous ce soir. Au revoir.;529
シャワー;朝[あさ]、 急[いそ]いでシャワーを 浴[あ]びました。;J'ai pris une douche hâtive le matin.;531
じゃあ;病気じゃありませんから、心配しないでください。;Je ne suis pas malade, alors ne vous inquiétez pas.;533
そうですね;そうですね。。。;euh... voyons... eh bien... (pour réfléchir avant de répondre);534
ズボン;ズボンが 汚[よご]れた。;Mon pantalon a été sali.;535
もしもし;もしもし、ジョンソンさんをお願いします。;Allô, passez-moi M. Johnson, svp.;536
お元気ですか[おげんきですか];奥様はお元気ですか。;Comment va votre femme ?;538
バター;バターはあまり好きではありません。;Je n'aime pas trop le beurre.;539
コート;寒いのでコートを着なければなりません。;Puisqu'il fait froid, je dois porter un manteau.;540
冷蔵庫[れいぞうこ];飲[の]み 物[もの]は 冷蔵庫[れいぞうこ]にあります。;Les boissons sont au réfrigérateur.;541
パーティー;パーティーは楽しむものです。;Une fête, c'est fait pour s'amuser.;543
作文[さくぶん];日本語[にほんご]で 作文[さくぶん]を 書[か]きました。;J'ai écrit une rédaction en japonais.;544
お弁当[おべんとう];お弁当はよかったでしょう。;Le panier-repas était bon, n'est-ce pas ?;546
いらっしゃいませ;あなたも私たちと一緒にいらっしゃいませんか。;Ne viendriez-vous pas avec nous  (Respectueux);547
ポケット;財布[さいふ]をポケットにしまった。;J'ai mis mon portefeuille dans ma poche.;548
ベッド;新しいベッドを買いたい。;Je veux acheter un nouveau lit.;549
木曜日[もくようび];木曜日[もくようび]は 仕事[しごと]が 休[やす]みです。;Le jeudi, je suis en congé.;550
醤油[しょうゆ];もう 少[すこ]し 醤油[しょうゆ]を 足[た]してください。;Ajouter un peu plus de sauce soja.;551
何分[なんぷん];何分[なんぷん] 待[ま]つ 必要[ひつよう]がありますか;Combien de minutes d'attente sont nécessaire ?;552
火曜日[かようび];火曜日[かようび]に 会議[かいぎ]があります。;Il y a une réunion mardi.;553
デパート;私[わたし]はデパートで 靴[くつ]を 買[か]った。;J'ai acheté une paire de chaussures au grand magasin.;555
眼鏡[めがね];彼[かれ]は 眼鏡[めがね]をかけています。;Il porte des lunettes.;556
葉書[はがき];家族[かぞく]に 葉書[はがき]を 書[か]いています。;J'écris une carte postale à ma famille.;557
スカート;かのじょ は あまり スカート は はかない;Elle ne porte pas souvent de jupes.;558
一昨年[おととし];一昨年[おととし] 初[はじ]めて 京都[きょうと]へ 旅行[りょこう]しました。;J'ai voyagé pour la première fois à Kyoto il y a deux ans.;559
留学生[りゅうがくせい];彼[かれ]は 留学生[りゅうがくせい]です。;Il est étudiant international.;560
洗濯[せんたく];メアリーは洗濯物を干してるよ。;Marie étend le linge.;561
賑やか[にぎやか];浅草[あさくさ]は 賑[にぎ]やかな 街[まち]です。;Asakusa est un quartier animé.;562
幾つ[いくつ];弟さんって、お幾つですか？;Quel âge a votre petit frère ?;563
どうやって;この動画、どうやって作ったんですか？;Comment avez-vous réalisé cette vidéo ?;564
零[れい];日本語[にほんご]のテストで零[れい]点[てん]を 取[と]った。;"J'ai pris un score ""vide"" au test de japonais.";565
ギター;これは兄のギターです。;Ceci est la guitare de mon grand frère.;566
喫茶店[きっさてん];喫茶店[きっさてん]でコーヒーを 飲[の]んだ。;J'ai bu du café au café.;567
珈琲[コーヒー];喫茶店でコーヒーを飲む;Je bois un café dans un café.;569
易しい[やさしい];この踊りは易しいですよ。;Cette danse est facile !;570
四日[よっか];７月[しちがつ] ４日[よっか]はアメリカでは 休[やす]みの 日[ひ]です。;Le 4 juillet est un jour ferié aux USA.;571
茶碗[ちゃわん];この大きい茶碗は誰のですか。;A qui est ce grand bol ?;572
銀行員[ぎんこういん];彼[かれ]は 銀行員[ぎんこういん]です。;il est employé de banque.;573
ポスト;手紙[てがみ]をポストに 入[い]れました。;J'ai mis la lettre dans la boîte aux lettres.;574
切手[きって];ここに 切手[きって]を 貼[は]ってください。;Veuillez coller votre timbre ici.;575
十日[とおか];３月[さんがつ] １０日[とおか]までに、 予約[よやく]を 確認[かくにん]して 下[くだ]さい。;Veuillez confirmer la réservation avant le 10 mars.;576
