人[ひと];彼[かれ]は 優[やさ]しい 人[ひと]です。
作る[つくる];今[いま]朝[あさ]ご 飯[はん]を 作[つく]っています。
病気[びょうき];祖父[そふ]が 病気[びょうき]になった。
半分[はんぶん];お 菓子[かし]を 友達[ともだち]に 半分[はんぶん]あげた。
部屋[へや];私[わたし]の 部屋[へや]は 2階[にかい]にあります。
先[さき];お 先[さき]にどうぞ。
切る[きる];この 紙[かみ]を 半分[はんぶん]に 切[き]ってください。
間[かん];1時間半[いちじかんはん]かかりますよ。
外[そと];外[そと]は 暑[あつ]いよ。
会社[かいしゃ];彼[かれ]は 小[ちい]さな 会社[かいしゃ]に 勤[つと]めています。
料理[りょうり];母[はは]は 料理[りょうり]が 上手[じょうず]です。
手紙[てがみ];友達[ともだち]から 手紙[てがみ]をもらいました。
楽しい[たのしい];彼[かれ]はとても 楽[たの]しい 人[ひと]です。
初めて[はじめて];東京[とうきょう]に 来[く]るのは 初[はじ]めてです。
彼[あれ];あれは 何[なん]ですか。
顔[かお];彼[かれ]はタオルで 顔[かお]を 拭[ふ]きました。
終わる[おわる];会議[かいぎ]は 4時[よじ]に 終[お]わります。
来週[らいしゅう];来週[らいしゅう]は 忙[いそが]しいです。
彼[かれ];彼[かれ]は 指[ゆび]が 太[ふと]い。
天気[てんき];今日[きょう]はいい 天気[てんき]ですね。
男の子[おとこのこ];男[おとこ]の 子[こ]たちがサッカーをしている。
小さい[ちいさい];小[ちい]さい 花[はな]が 咲[さ]いています。
下手[へた];私[わたし]は 歌[うた]が 下手[へた]だ。
近い[ちかい];駅[えき]はここから 近[ちか]いです。
時々[ときどき];私[わたし]は 時々[ときどき]ピアノを 弾[ひ]く。
近く[ちかく];駅[えき]の 近[ちか]くで 食事[しょくじ]をした。
教える[おしえる];彼[かれ]は 数学[すうがく]を 教[おし]えています。
電気[でんき];電気[でんき]をつけてもらえる？
着る[きる];今日[きょう]はスーツを 着[き]ています。
向こう[むこう];友達[ともだち]は 向[む]こうにいます。
覚える[おぼえる];妹[いもうと]は 平仮名[ひらがな]を 全部[ぜんぶ]覚[おぼ]えました。
死ぬ[しぬ];犬[いぬ]が 病気[びょうき]で 死[し]にました。
新しい[あたらしい];彼[かれ]の 車[くるま]は 新[あたら]しい。
生徒[せいと];このクラスの 生徒[せいと]は 30人[さんじゅうにん]です。
家族[かぞく];うちは 五人[ごにん]家族[かぞく]です。
呼ぶ[よぶ];ウェイターを 呼[よ]びましょう。
男[おとこ];男[おとこ]の 人[ひと]が 私[わたし]たちに 話[はな]し 掛[か]けた。
動物[どうぶつ];私[わたし]は 動物[どうぶつ]が 大好[だいす]きです。
去年[きょねん];私[わたし]は 去年[きょねん]フランスへ 行[い]った。
頼む[たのむ];私[わたし]はハンバーガーを 頼[たの]みました。
引く[ひく];このドアは 引[ひ]いてください。
今週[こんしゅう];今週[こんしゅう]は 日本語[にほんご]のテストがあります。
多い[おおい];京都[きょうと]にはお 寺[てら]が 多[おお]い。
足[あし];彼[かれ]は 足[あし]が 長[なが]い。
開ける[あける];後[あと]で 窓[まど]を 開[あ]けてください。
書く[かく];彼[かれ]に 手紙[てがみ]を 書[か]きました。
声[こえ];彼[かれ]は 大[おお]きな 声[こえ]で 話[はな]した。
医者[いしゃ];私[わたし]は 医者[いしゃ]です。
早く[はやく];できるだけ 早[はや]く 来[き]てください。
始まる[はじまる];新[あたら]しい 仕事[しごと]が 始[はじ]まりました。
起きる[おきる];私[わたし]は 毎朝[まいあさ]6時[ろくじ]に 起[お]きます。
今月[こんげつ];今月[こんげつ]はとても 忙[いそが]しい。
結構[けっこう];3時[さんじ]で 結構[けっこう]です。
女[おんな];店員[てんいん]は 若[わか]い 女[おんな]の 人[ひと]でした。
問題[もんだい];問題[もんだい]が 一[ひと]つあります。
今朝[けさ];今朝[けさ]テレビでそのニュースを 知[し]りました。
次[つぎ];次[つぎ]はいつ 会[あ]いましょうか。
口[くち];口[くち]を 大[おお]きく 開[あ]けてください。
友達[ともだち];私[わたし]には 友達[ともだち]がたくさんいます。
頭[あたま];今朝[けさ]から 頭[あたま]が 痛[いた]い。
返す[かえす];図書館[としょかん]に 本[ほん]を 返[かえ]した。
着く[つく];僕[ぼく]たちは 1時間[いちじかん]以内[いない]に 着[つ]くよ。
乗る[のる];駅[えき]からはタクシーに 乗[の]ってください。
食べ物[たべもの];日本[にほん]の 食[た]べ 物[もの]はとても 美味[おい]しいです。
置く[おく];彼[かれ]はかばんをいすの 上[うえ]に 置[お]きました。
学校[がっこう];学校[がっこう]は 8時半[はちじはん]に 始[はじ]まります。
忘れる[わすれる];約束[やくそく]を 忘[わす]れないでください。
安い[やすい];この 服[ふく]はとても 安[やす]かった。
頑張る[がんばる];明日[あした]の 試験[しけん]頑張[がんば]ってね。
荷物[にもつ];彼[かれ]は 大[おお]きな 荷物[にもつ]を 持[も]ってきた。
午後[ごご];その 急行[きゅうこう]は 午後[ごご]6時20分[ろくじにじゅっぷん]に 出発[しゅっぱつ]します。
面白い[おもしろい];この 本[ほん]はすごく 面白[おもしろ]かった。
午前[ごぜん];午前[ごぜん]9時[くじ]のニュースです。
父[ちち];私[わたし]は 父[ちち]が 大好[だいす]きです。
皆[みんな];皆[みんな]にお 菓子[かし]をあげましょう。
大勢[おおぜい];大勢[おおぜい]で 食事[しょくじ]に 出[で]かけました。
写真[しゃしん];写真[しゃしん]は 良[よ]い 思[おも]い 出[で]になります。
買う[かう];郵便局[ゆうびんきょく]で 切手[きって]を 買[か]いました。
三[さん];彼女[かのじょ]は 三人[さんにん]の 子供[こども]の 母親[ははおや]だ。
母[はは];昨日[きのう]、 母[はは]と 話[はなし]をしました。
水[みず];水[みず]を 一杯[いっぱい]ください。
止まる[とまる];今朝[けさ]事故[じこ]で 電車[でんしゃ]が 止[と]まりました。
風[かぜ];そこも 風[かぜ]が 強[つよ]い。
新聞[しんぶん];今日[きょう]の 新聞[しんぶん]、どこに 置[お]いた？
小さな[ちいさな];あの 小[ちい]さなネズミ 見[み]た？
有名[ゆうめい];彼[かれ]は 有名[ゆうめい]な 歌手[かしゅ]です。
飲む[のむ];友達[ともだち]とお 酒[さけ]を 飲[の]んでいます。
国[くに];私[わたし]の 国[くに]について 少[すこ]しお 話[はなし]しましょう。
時計[とけい];時計[とけい]を 見[み]たらちょうど 3時[さんじ]だった。
道[みち];この 道[みち]を 真[ま]っ 直[す]ぐ 行[い]くと 駅[えき]です。
入り口[いりぐち];入口[いりぐち]は 向[む]こうです。
白い[しろい];彼[かれ]は 歯[は]が 白[しろ]い。
一緒に[いっしょに];一緒[いっしょ]に 帰[かえ]りましょう。
歩く[あるく];駅[えき]まで 歩[ある]きましょう。
あの人[あのひと];あの 人[ひと]はかわいい。
音楽[おんがく];私[わたし]は 音楽[おんがく]を 聞[き]くのが 好[す]きだ。
重い[おもい];このかばんは 重[おも]いです。
要る[いる];予約[よやく]は 要[い]りません。
来月[らいげつ];来月[らいげつ]から 大学生[だいがくせい]になります。
上る[のぼる];私[わたし]たちは 昨年[さくねん]、 富士山[ふじさん]に 登[のぼ]りました。
山[やま];山[やま]の 空気[くうき]はきれいだ。
遅い[おそい];前[まえ]の 車[くるま]はとても 遅[おそ]い。
建物[たてもの];これは 日本一[にほんいち]古[ふる]い 建物[たてもの]です。
先週[せんしゅう];先週[せんしゅう]は 海[うみ]に 行[い]った。
朝[あさ];気持[きも]ちのいい 朝[あさ]です。
夕方[ゆうがた];夕方[ゆうがた]、 雨[あめ]が 降[ふ]りました。
色[いろ];素敵[すてき]な 色[いろ]のセーターですね。
飛ぶ[とぶ];鳥[とり]が 飛[と]んでいます。
一日[ついたち];一月[いちがつ]一日[ついたち]は 何[なに]をしていましたか？
欲しい[ほしい];僕[ぼく]は 新[あたら]しい 靴[くつ]が 欲[ほ]しいです。
危ない[あぶない];その 道[みち]は 車[くるま]が 多[おお]くて 危[あぶ]ない。
難しい[むずかしい];この 本[ほん]は 難[むずか]しいですね。
毎年[まいとし];毎年[まいとし]お 花見[はなみ]をする。
夜[よる];夜[よる]のツアーはありますか。
質問[しつもん];質問[しつもん]をしてもいい？
初め[はじめ];初[はじ]めは 良[よ]くなかったが、 良[よ]くなっています。
一つ[ひとつ];一[ひと]つだけ 忘[わす]れました。
痛い[いたい];今日[きょう]は 頭[あたま]が 痛[いた]いです。
読む[よむ];彼女[かのじょ]は 雑誌[ざっし]を 読[よ]んでいます。
銀行[ぎんこう];銀行[ぎんこう]は ３時[じ]まで 開[あ]いています。
休む[やすむ];明日[あした]、 会社[かいしゃ]を 休[やす]みます。
車[くるま];弟[おとうと]が 車[くるま]を 買[か]った。
嫌い[きらい];私[わたし]はタバコが 嫌[きら]いです。
教室[きょうしつ];私[わたし]の 教室[きょうしつ]は ３階[かい]にあります。
消す[けす];昼[ひる]の 時[とき]は 電気[でんき]を 消[け]してください。
飲み物[のみもの];何[なに]か 飲[の]み 物[もの]が 欲[ほ]しいな。
消える[きえる];すぐに 電気[でんき]が 消[き]えた。
帽子[ぼうし];暑[あつ]いので 帽子[ぼうし]を 被[かぶ]りましょう。
売る[うる];彼[かれ]は 家[いえ]を 売[う]った。
遠い[とおい];家[いえ]から 学校[がっこう]までは 遠[とお]いです。
休み[やすみ];今日[きょう]は 休[やす]みです。
白[しろ];白[しろ]は 雪[ゆき]の 色[いろ]です。
困る[こまる];ケータイをなくして 困[こま]っています。
遊ぶ[あそぶ];子供[こども]たちが 公園[こうえん]で 遊[あそ]んでいる。
明るい[あかるい];今日[きょう]は 月[つき]が 明[あか]るいね！
海[うみ];海[うみ]は 広[ひろ]くて 大[おお]きい。
無くす[なくす];今日[きょう]鍵[かぎ]を 無[な]くしました。
若い[わかい];彼[かれ]はまだ 若[わか]いです。
走る[はしる];彼[かれ]は 毎晩[まいばん]３キロ 走[はし]っています。
座る[すわる];彼[かれ]らは 後[うし]ろの 椅子[いす]に 座[すわ]った。
花[はな];公園[こうえん]で 美[うつく]しい 花[はな]を 見[み]ました。
真っ直ぐ[まっすぐ];この 道[みち]を 真[ま]っ 直[す]ぐ 行[い]ってください。
熱い[あつい];私[わたし]のおばあちゃんは 熱[あつ]いお 茶[ちゃ]が 好[す]きです。
五日[いつか];五月[ごがつ]五日[いつか]は 子供[こども]の 日[ひ]だ。
自分で[じぶんで];私[わたし]は 自分[じぶん]で 料理[りょうり]します。
空[そら];空[そら]の 写真[しゃしん]を 撮[と]るのが 好[す]きです。
疲れる[つかれる];今日[きょう]は 疲[つか]れました。
押す[おす];後[うし]ろから 押[お]すと 危[あぶ]ないですよ。
渡す[わたす];彼[かれ]に 手紙[てがみ]を 渡[わた]しました。
張る[はる];テントを 川[かわ]の 側[そば]に 張[は]った。
働く[はたらく];姉[あね]は 銀行[ぎんこう]で 働[はたら]いています。
甘い[あまい];このいちごは 甘[あま]い。
地図[ちず];地図[ちず]を 見[み]て 来[き]てください。
住む[すむ];彼[かれ]は 会社[かいしゃ]の 近[ちか]くに 住[す]んでいる。
出口[でぐち];出口[でぐち]はあそこです。
兄[あに];兄[あに]はよく 泳[およ]ぐのが 好[す]きです。
両親[りょうしん];私[わたし]の 両親[りょうしん]は 大阪[おおさか]に 住[す]んでいます。
掛ける[かける];夫[おっと]の 服[ふく]をハンガーに 掛[か]けた。
家庭[かてい];彼[かれ]は 家庭[かてい]を 大切[たいせつ]にしている。
広い[ひろい];彼[かれ]の 家[いえ]はとても 広[ひろ]い。
先月[せんげつ];先月[せんげつ]、 友達[ともだち]の 結婚式[けっこんしき]があった。
誰か[だれか];誰[だれ]かに 聞[き]いてください。
答える[こたえる];私[わたし]の 質問[しつもん]に 答[こた]えてください。
立派[りっぱ];彼[かれ]は 立派[りっぱ]な 人[ひと]です。
肉[にく];昨日[きのう]の 夜[よる]は 肉[にく]をたくさん 食[た]べました。
映画[えいが];彼[かれ]はよく 映画[えいが]を 見[み]ます。
病院[びょういん];病院[びょういん]はどこですか。
出かける[でかける];彼女[かのじょ]はよく 出[で]かけますか？
電車[でんしゃ];私[わたし]は 電車[でんしゃ]で 学校[がっこう]に 行[い]きます。
番号[ばんごう];この 番号[ばんごう]に 電話[でんわ]してください。
借りる[かりる];彼[かれ]にビデオを 借[か]りました。
風邪[かぜ];私[わたし]は 風邪[かぜ]を 引[ひ]きました。
半[はん];それはケーキの 半分[はんぶん]です。
吸う[すう];タバコを 吸[す]いますか？
野菜[やさい];私[わたし]は 毎日[まいにち]たくさん 野菜[やさい]を 食[た]べます。
練習[れんしゅう];娘[むすめ]は 今[いま]、バイオリンを 練習[れんしゅう]しています。
酒[さけ];彼女[かのじょ]は 酒[さけ]に 強[つよ]い。
赤い[あかい];赤[あか]いバラを 買[か]いました。
貸す[かす];私[わたし]は 彼[かれ]に 本[ほん]を 貸[か]しています。
忙しい[いそがしい];忙[いそが]しいので 手伝[てつだ]ってください。
外国[がいこく];母[はは]はまだ 外国[がいこく]に 行[い]ったことがありません。
古い[ふるい];私[わたし]は 古[ふる]い 車[くるま]が 好[す]きです。
もう一度[もういちど];もう 一度[いちど]見[み]せてください。
冷たい[つめたい];冷[つめ]たい 飲[の]み 物[もの]をください。
姉[あね];姉[あね]は 大学生[だいがくせい]です。
降る[ふる];明日[あす]は 雨[あめ]が 降[ふ]るでしょう。
服[ふく];昨日[きのう]新[あたら]しい 服[ふく]を 買[か]った。
公園[こうえん];公園[こうえん]に 小[ちい]さな 池[いけ]があります。
弱い[よわい];その 子[こ]は 体[からだ]が 少[すこ]し 弱[よわ]い。
兄弟[きょうだい];彼[かれ]は ３人[にん]兄弟[きょうだい]です。
低い[ひくい];彼[かれ]は 背[せ]が 低[ひく]い。
渡る[わたる];私[わたし]たちは 歩[ある]いて 橋[はし]を 渡[わた]った。
日[にち];私[わたし]たちは 先月[せんげつ]十一日[じゅういちにち]に 結婚[けっこん]しました。
黒い[くろい];彼女[かのじょ]は 黒[くろ]いドレスを 着[き]ています。
後で[あとで];彼[かれ]らがいないので、 後[あと]で 彼[かれ]らと 話[はな]しに 行[い]く。
便利[べんり];インターネットはとても 便利[べんり]です。
横[よこ];横[よこ]の 長[なが]さは １メートルです。
犬[いぬ];この 犬[いぬ]はとても 静[しず]かです。
町[まち];雪[ゆき]が 町[まち]に 降[ふ]った。
赤[あか];信号[しんごう]が 赤[あか]に 変[か]わりました。
軽い[かるい];この 靴[くつ]はとても 軽[かる]い。
夏[なつ];私[わたし]は 夏[なつ]が 大好[だいす]き。
宿題[しゅくだい];宿題[しゅくだい]、 手伝[てつだ]ってくれない？
右[みぎ];右[みぎ]のポケットにハンカチが 入[はい]っています。
余り[あまり];このビールはあまり 美味[おい]しくありません。
静か[しずか];今年[ことし]の 夏休[なつやす]みには 静[しず]かな 所[ところ]へ 行[い]きたい。
左[ひだり];そこを 左[ひだり]に 曲[ま]がってください。
飛行機[ひこうき];息子[むすこ]は 飛行機[ひこうき]のおもちゃが 好[す]きです。
黒[くろ];黒[くろ]のボールペンはありますか。
薬[くすり];医者[いしゃ]から 薬[くすり]をもらいました。
風呂[ふろ];父[ちち]は 今[いま]お 風呂[ふろ]に 入[はい]っています。
青[あお];私[わたし]の 好[す]きな 色[いろ]は 青[あお]です。
茶[ちゃ];お 茶[ちゃ]を 飲[の]みませんか。
春[はる];今年[ことし]の 春[はる]は 暖[あたた]かいね。
夏休み[なつやすみ];今日[きょう]が 夏休[なつやす]み 最後[さいご]の 日[ひ]だ。
出掛ける[でかける];主人[しゅじん]はもう 出[で]かけました。
勉強[べんきょう];英語[えいご]で 勉強[べんきょう]するのが 上手[じょうず]ですね。
文章[ぶんしょう];彼[かれ]は 文章[ぶんしょう]がとても 上手[うま]い。
買い物[かいもの];彼女[かのじょ]は 休日[きゅうじつ]になるとよく 買[か]い 物[もの]に 行[い]きます。 昨日[きのう]、 買[か]い 物[もの]に 行[い]きました。
毎月[まいつき];毎月[まいつき]ではありませんね。
時半[じはん];今[いま]、 六時半[ろくじはん]です。
無い[ない];ここには 何[なに]も 無[な]い。
昼[ひる];彼女[かのじょ]は 昼頃[ひるごろ]に 到着[とうちゃく]する。
下さい[ください];水[みず]を 下[くだ]さい。
二十歳[はたち];妹[いもうと]は 来年[らいねん]二十歳[はたち]になります。
九[きゅう];野球[やきゅう]は 九[きゅう]人[にん]でひとチームです。
どれ;この 中[なか]でどれが 好[す]きですか。
結婚[けっこん];来月[らいげつ]、 結婚[けっこん]します。
さあ;さあ 仕事[しごと]をはじめましょう。
西[にし];この 町[まち]は 東京[とうきょう]の 西[にし]にある。
毎週[まいしゅう];私[わたし]は 毎週[まいしゅう]母[はは]に 電話[でんわ]をします。
もう;彼[かれ]はもう 宿題[しゅくだい]をやってしまった。
名前は[なまえは]？;弟[おとうと]の 名前[なまえ]は？
より;昨日[きのう]より 寒[さむ]い。
ページ;三十二[さんじゅうに]ページを 開[ひら]いてください。
幾ら[いくら];この 果物[くだもの]は 幾[いく]らですか？
閉める[しめる];ドアを 閉[し]めてください。
勤める[つとめる];私[わたし]は 銀行[ぎんこう]に 勤[つと]めています。
晴れる[はれる];晴[は]れるのを 待[ま]ちます。
黄色い[きいろい];彼女[かのじょ]に 黄色[きいろ]いばらを 買[か]いました。
降りる[おりる];次[つぎ]の 駅[えき]で 降[お]ります。
弾く[ひく];彼[かれ]はギターを 弾[ひ]きます。
辺[へん];彼[かれ]はこの 辺[へん]に 住[す]んでいます。
居る[いる];可愛[かわい]い 女[おんな]の 子[こ]が 居[い]る。
鳴く[なく];どこかで 猫[ねこ]が 鳴[な]いている。
茶色[ちゃいろ];茶色[ちゃいろ]い 熊[くま]が 川[かわ]の 中[なか]を 走[はし]っている。
明後日[あさって];明後日[あさって]は 木曜日[もくようび]です。
貴方[あなた];貴方[あなた]はアメリカ 人[じん]ですか。
どこ;あの 本[ほん]をどこに 置[お]きましたか。
登る[のぼる];私[わたし]たちは 昨年[さくねん]富士山[ふじさん]に 登[のぼ]りました。
アパート;彼[かれ]はアパートに 住[す]んでいます。
こちら;受付[うけつけ]はこちらです。
毎年[まいねん];毎年[まいねん]給料[きゅうりょう]が 上[あ]がる。
八[はち];りんごを 八[はち]個[こ]ください。
あっち;郵便局[ゆうびんきょく]はあっちです。
締める[しめる];彼[かれ]はシートベルトを 締[し]めた。
ペン;ペンを 貸[か]してください。
大使館[たいしかん];彼[かれ]は 大使館[たいしかん]に 勤[つと]めています。
ですから;上手[じょうず]ですから、スキーが 好[す]きです。
レコード;ジャズのレコードをかけました。
暑い[あつい];今日[きょう]はとても 暑[あつ]い。
晴れ[はれ];明日[あした]の 天気[てんき]は 晴[は]れです。
マッチ;マッチを 持[も]っていますか。
八百屋[やおや];八百屋[やおや]でみかんを 買[か]いました。
年[とし];新[あたら]しい 年[とし]が 始[はじ]まりました。
いつ;彼女[かのじょ]はいつ 来[き]ますか。
曲がる[まがる];そこを 左[ひだり]に 曲[ま]がってください。
温い[ぬるい];風呂[ふろ]が 温[ぬる]かった。
履く[はく];彼女[かのじょ]はブーツを 履[は]いています。
どうも住みません[どうもすみません];どうもすみません。
ストーブ;うちではまだストーブを 使[つか]っています。
一月[いちがつ];私[わたし]は 一月[いちがつ]に 漢字[かんじ]を 千[せん]個[こ]覚[おぼ]えました。
万年筆[まんねんひつ];父[ちち]に 万年筆[まんねんひつ]をプレゼントしました。
煙草[たばこ];彼[かれ]はたばこを 吸[す]いません。
五[ご];五人[ごにん]で 旅行[りょこう]に 行[い]きました。
お巡りさん[おまわりさん];あのお 巡[まわ]りさんに 道[みち]を 聞[き]きましょう。
歯[は];私[わたし]の 歯[は]は 丈夫[じょうぶ]です。
ワイシャツ;彼[かれ]は 白[しろ]いワイシャツを 着[き]ている。
レポートを出す[レポートをだす];来週[らいしゅう]の 月曜日[げつようび]までにレポートを 出[だ]してください。
お祖父さん[おじいさん];お 祖父[おじい]さんは 静[しず]かにベンチに 座[すわ]っていました。
奇麗[きれい];彼女[かのじょ]はとても 奇麗[きれい]だ。
ビタミンＣ;ビタミンＣを 毎日[まいにち]とった 方[ほう]がいいですよ。
縦[たて];日本[にほん]の 新聞[しんぶん]はふつう 縦[たて]に 書[か]いてある。
痛いだ[いたいだ];頭[あたま]が 痛[いた]いの？
戸[と];部屋[へや]の 戸[と]が 開[あ]いています。
公園を散歩[こうえんをさんぽ];彼[かれ]はきのう 公園[こうえん]を 散歩[さんぽ]した。
円い[まるい];円[まる]いお 皿[おさら]を 机[つくえ]に 並[なら]べてください。
そうですか;そうですか。ではこれは 何[なん]ですか。
やなど;コンビニで 寿司[すし]やサンドイッチやラーメンなどがあります。
次[つぎ]の;次[つぎ]の 日曜日[にちようび]にはどこへ 行[い]きたいですか。
合う[あう];この 靴[くつ]は 私[わたし]の 足[あし]に 合[あ]っている。
心[こころ];彼女[かのじょ]は 心[こころ]が 優[やさ]しい。
彼女[かのじょ];彼女[かのじょ]は 泣[な]いた。
一杯[いっぱい];プールは 人[ひと]で 一杯[いっぱい]です。
間[あいだ];バスは 予定[よてい]の 時間[じかん]より １０分遅[おく]れで 着[つ]いた。
上がる[あがる];わたしたちは 二階[にかい]に 上[あ]がった。
気分[きぶん];気分[きぶん]は 良[よ]くなりましたか。
会議[かいぎ];今日[きょう]の 午後[ごご]、 大事[だいじ]な 会議[かいぎ]があります。
終わり[おわり];夏休[なつやす]みももう 終[お]わりだ。
受ける[うける];日本[にほん]の 大学[だいがく]を 受[う]けたいです。
申し上げる[もうしあげる];反対[はんたい]申[もう]し 上[あ]げるつもりは 全然[ぜんぜん]なかったのです。
続く[つづく];三日間[みっかかん]晴[は]れが 続[つづ]いた。
最も[もっとも];冬[ふゆ]は 一日[いちにち]が 短[みじか]く、 最[もっと]も 寒[さむ]い 時期[じき]です。
下げる[さげる];すこし 音量[おんりょう]を 下[さ]げてください。
音[おと];雨[あめ]の 音[おと]が 聞[き]こえる。
関係[かんけい];その 二[ふた]つの 国[くに]の 関係[かんけい]は 複雑[ふくざつ]だ。
利用[りよう];いつも 地下鉄[ちかてつ]を 利用[りよう]しています。
会場[かいじょう];会場[かいじょう]は 人[ひと]で 一杯[いっぱい]になりました。
楽しみ[たのしみ];彼女[かのじょ]のいちばんの 楽[たの]しみはショッピングです。
社会[しゃかい];これは 大[おお]きな 社会[しゃかい]問題[もんだい]になっている。
笑う[わらう];赤[あか]ん 坊[ぼう]が 笑[わら]っています。
直す[なおす];私[わたし]がそれを 直[なお]しました。
形[かたち];このクッキーは 星[ほし]の 形[かたち]です。
見つかる[みつかる];眼鏡[めがね]が 見[み]つかりません。
格好[かっこう];格好[かっこう]のいい 青年[せいねん]に 会[あ]ったよ。
失敗[しっぱい];一度[いちど]の 失敗[しっぱい]であきらめてはいけないよ。
仕方無い[しかたない];いたずらをするのは 仕方[しかた]が 無[な]い。
決して[けっして];このことを 決[けっ]して 忘[わす]れないでください。
似る[にる];母[はは]に 似[に]ています。
計画[けいかく];今年[ことし]家族[かぞく]と 旅行[りょこう]を 計画[けいかく]しています。
上手い[うまい];娘[むすめ]はバイオリンが 上手[うま]いんだよ。
触る[さわる];絵[え]に 触[さわ]らないでください。
一生懸命[いっしょうけんめい];彼[かれ]は 毎日[まいにち]一生懸命[いっしょうけんめい]働[はたら]いている。
怒る[おこる];彼女[かのじょ]が 嘘[うそ]をついたので 彼[かれ]は 怒[おこ]った。
君[くん];君[くん]、 僕[ぼく]のこと 好[す]きなの？
頂く[いただく];お 客様[きゃくさま]にお 菓子[かし]を 頂[いただ]いた。
用意[ようい];シェフが 料理[りょうり]を 用意[ようい]している。
連れる[つれる];両親[りょうしん]の 家[いえ]に 彼女[かのじょ]を 連[つ]れて 行[い]きたい。
構う[かまう];子供[こども]に 構[かま]いすぎてはいけない。
席[せき];この 席[せき]は 空[あ]いていますか。
石[いし];この 教会[きょうかい]は 石[いし]でできている。
説明[せつめい];旅行[りょこう]で 使[つか]ったお 金[かね]、 全部[ぜんぶ]説明[せつめい]がつきますか。
比べる[くらべる];いろいろな 店[みせ]で 値段[ねだん]を 比[くら]べた。
島[しま];日本[にっぽん]は 島国[しまぐに]です。
そう;悲[かな]しそうな 男[おとこ]の 子[こ]
ちゃん;マリちゃんは 友達[ともだち]です。
止める[やめる];彼[かれ]らの 隠[かく]れ 家[が]を 突[つ]き 止[と]めるのに １週間[いっしゅうかん]かかった。
高校生[こうこうせい];私[わたし]の 弟[おとうと]は 高校生[こうこうせい]です;
億[おく];来週[らいしゅう]、スーパージャックポットは 2億[おく]ユーロになります。;
空港[くうこう];二人[ふたり]は 空港[くうこう]のところを 探[さが]しました。;
布団[ふとん];母[はは]はすぐに 布団[ふとん]を 片付[かたづ]けました。;
久しぶり[ひさしぶり];明日[あした]、 久[ひさ]しぶりに 友達[ともだち]に 会[あ]います。;
下さる[くださる];ロビーまで 来[き]て 下[くだ]さる？;
