人[ひと];彼[かれ]は 優[やさ]しい 人[ひと]です。
何[なん];質問[しつもん]は 何[なん]ですか。
見る[みる];私[わたし]は 絵[え]を 見[み]るのが 好[す]きです。
何[なに];この 学生[がくせい]は 何[なに]を 書[か]きましたか。
言う[いう];課長[かちょう]は「 一杯[いっぱい] 飲[の]みましょう」と 言[い]った。
今[いま];父[ちち]は 今[いま]テレビを 見[み]ている。
一[いち];一時[いちじ]です。
一人[ひとり];私[わたし]は 一人[ひとり]で 公園[こうえん]を 散歩[さんぽ]しました。
二人[ふたり];今日[きょう]は 妻[つま]と 二人[ふたり]で 食事[しょくじ]をします。
今日[きょう];今日[きょう]は 仕事[しごと]がありません。
行く[いく];タクシーで 病院[びょういん]に 行[い]った。
出る[でる];今朝[けさ]は 早[はや]く 家[いえ]を 出[で]ました。
分かる[わかる];質問[しつもん]の 意味[いみ]は 分[わ]かりましたか。
大きい[おおきい];あの 大[おお]きい 建物[たてもの]は 何[なん]ですか。
私[わたし];私[わたし]が 行[い]きましょう。
来る[くる];彼[かれ]は 昼過[ひるす]ぎに 来[き]ます。
言葉[ことば];この 言葉[ことば]の 意味[いみ]が 分[わ]かりません。
出す[だす];猫[ねこ]を 外[そと]に 出[だ]した？
一番[いちばん];冬[ふゆ]は 私[わたし]の 一番[いちばん] 好[す]きな 季節[きせつ]です。
見せる[みせる];その 写真[しゃしん]を 見[み]せてください。
時間[じかん];5時間[じかん] 海[うみ]にいました。
大丈夫[だいじょうぶ];大丈夫[だいじょうぶ]ですか。
出来る[できる];駅[えき]の 前[まえ]に 大[おお]きいスーパーが 出来[でき]ました。
大きな[おおきな];大[おお]きな 家[いえ]に 住[す]みたい。
入る[はいる];寒[さむ]いので 中[なか]に 入[はい]ってください。
本[ほん];本[ほん]がある。
日本[にほん];日本[にほん]は 中国[ちゅうごく]に 近[ちか]い。
入れる[いれる];鞄[かばん]に 本[ほん]を 入[い]れます。
方[かた];次[つぎ]の 方[かた]どうぞ。
話す[はなす];母[はは]と 電話[でんわ]で 話[はな]しました。
会う[あう];また 会[あ]いましょう。
仕事[しごと];3月[さんがつ]は 仕事[しごと]が 忙[いそが]しい。
昨日[きのう];昨日[きのう]メアリーが 買[か]ったのは 何[なん]ですか。
聞く[きく];彼女[かのじょ]はラジオを 聞[き]いています。
私[わたくし];私[わたくし]もです！
大切[たいせつ];これは 母[はは]が 大切[たいせつ]にしていた 指輪[ゆびわ]です。
物[もの];フランスではナイフとフォークで 食[た]べるものだ。
大好き[だいすき];私[わたし]は 犬[いぬ]が 大好[だいす]きだ。
一日[いちにち];昨日[きのう]は 一日[いちにち]テストの 勉強[べんきょう]をしていました。
後[あと];仕事[しごと]の 後[あと] 映画[えいが]を 見[み]た。
取る[とる];テストでいい 点[てん]を 取[と]った。
同じ[おなじ];彼[かれ]の 日本語[にほんご]のレベルは 私[わたし]と 同[おな]じくらいだ。
一緒[いっしょ];一緒[いっしょ]に 食事[しょくじ]しようか。
作る[つくる];今[いま] 朝[あさ]ご 飯[はん]を 作[つく]っています。
病気[びょうき];祖父[そふ]が 病気[びょうき]になった。
半分[はんぶん];お 菓子[かし]を 友達[ともだち]に 半分[はんぶん]あげた。
部屋[へや];私[わたし]の 部屋[へや]は2階[にかい]にあります。
先[さき];お 先[さき]にどうぞ。
切る[きる];この 紙[かみ]を 半分[はんぶん]に 切[き]ってください。
間[かん];1時間半[いちじかんはん]かかりますよ。
小さな[ちいさな];あの 小[ちい]さなネズミ 見[み]た？;178
有名[ゆうめい];彼[かれ]は 有名[ゆうめい]な 歌手[かしゅ]です。;179
飲む[のむ];友達[ともだち]とお 酒[さけ]を 飲[の]んでいます。;180
国[くに];私[わたし]の 国[くに]について 少[すこ]しお 話[はなし]しましょう。;181
時計[とけい];時計[とけい]を 見[み]たらちょうど3時[さんじ]だった。;182
道[みち];この 道[みち]を 真[ま]っ 直[す]ぐ 行[い]くと 駅[えき]です。;183
入り口[いりぐち];入口[いりぐち]は 向[む]こうです。;184
白い[しろい];彼[かれ]は 歯[は]が 白[しろ]い。;185
一緒に[いっしょに];一緒[いっしょ]に 帰[かえ]りましょう。;186
歩く[あるく];駅[えき]まで 歩[ある]きましょう。;187
あの人[あのひと];あの 人[ひと]はかわいい。;188
音楽[おんがく];私[わたし]は 音楽[おんがく]を 聞[き]くのが 好[す]きだ。;189
重い[おもい];このかばんは 重[おも]いです。;190
要る[いる];予約[よやく]は 要[い]りません。;191
来月[らいげつ];来月[らいげつ]から 大学生[だいがくせい]になります。;192
上る[のぼる];私[わたし]たちは 昨年[さくねん]、 富士山[ふじさん]に 登[のぼ]りました。;193
山[やま];山[やま]の 空気[くうき]はきれいだ。;194
遅い[おそい];前[まえ]の 車[くるま]はとても 遅[おそ]い。;195
建物[たてもの];これは 日本一[にほんいち]古[ふる]い 建物[たてもの]です。;196
先週[せんしゅう];先週[せんしゅう]は 海[うみ]に 行[い]った。;197
朝[あさ];気持[きも]ちのいい 朝[あさ]です。;198
夕方[ゆうがた];夕方[ゆうがた]、 雨[あめ]が 降[ふ]りました。;199
色[いろ];素敵[すてき]な 色[いろ]のセーターですね。;200
飛ぶ[とぶ];鳥[とり]が 飛[と]んでいます。;201
```
Format identique (`key;sentence_ja;id`) :
```csv
一日[ついたち];一月[いちがつ]一日[ついたち]は 何[なに]をしていましたか？;202
欲しい[ほしい];僕[ぼく]は 新[あたら]しい 靴[くつ]が 欲[ほ]しいです。;203
危ない[あぶない];その 道[みち]は 車[くるま]が 多[おお]くて 危[あぶ]ない。;204
難しい[むずかしい];この 本[ほん]は 難[むずか]しいですね。;205
毎年[まいとし];毎年[まいとし]お 花見[はなみ]をする。;206
夜[よる];夜[よる]のツアーはありますか。;207
質問[しつもん];質問[しつもん]をしてもいい？;208
初め[はじめ];初[はじ]めは 良[よ]くなかったが、 良[よ]くなっています。;209
一つ[ひとつ];一[ひと]つだけ 忘[わす]れました。;210
痛い[いたい];今日[きょう]は 頭[あたま]が 痛[いた]いです。;211
読む[よむ];彼女[かのじょ]は 雑誌[ざっし]を 読[よ]んでいます。;212
銀行[ぎんこう];銀行[ぎんこう]は３ 時[じ]まで 開[あ]いています。;213
休む[やすむ];明日[あした]、 会社[かいしゃ]を 休[やす]みます。;214
車[くるま];弟[おとうと]が 車[くるま]を 買[か]った。;215
嫌い[きらい];私[わたし]はタバコが 嫌[きら]いです。;216
教室[きょうしつ];私[わたし]の 教室[きょうしつ]は３ 階[かい]にあります。;217
消す[けす];昼[ひる]の 時[とき]は 電気[でんき]を 消[け]してください。;218
飲み物[のみもの];何[なに]か 飲[の]み 物[もの]が 欲[ほ]しいな。;219
消える[きえる];すぐに 電気[でんき]が 消[き]えた。;220
帽子[ぼうし];暑[あつ]いので 帽子[ぼうし]を 被[かぶ]りましょう。;221
売る[うる];彼[かれ]は 家[いえ]を 売[う]った。;222
遠い[とおい];家[いえ]から 学校[がっこう]までは 遠[とお]いです。;223
休み[やすみ];今日[きょう]は 休[やす]みです。;224
白[しろ];白[しろ]は 雪[ゆき]の 色[いろ]です。;225
困る[こまる];ケータイをなくして 困[こま]っています。;226
遊ぶ[あそぶ];子供[こども]たちが 公園[こうえん]で 遊[あそ]んでいる。;227
明るい[あかるい];今日[きょう]は 月[つき]が 明[あか]るいね！;228
海[うみ];海[うみ]は 広[ひろ]くて 大[おお]きい。;229
無くす[なくす];今日[きょう] 鍵[かぎ]を 無[な]くしました。;230
若い[わかい];彼[かれ]はまだ 若[わか]いです。;231
走る[はしる];彼[かれ]は 毎晩[まいばん]３キロ 走[はし]っています。;232
座る[すわる];彼[かれ]らは 後[うし]ろの 椅子[いす]に 座[すわ]った。;233
花[はな];公園[こうえん]で 美[うつく]しい 花[はな]を 見[み]ました。;234
真っ直ぐ[まっすぐ];この 道[みち]を 真[ま]っ 直[す]ぐ 行[い]ってください。;235
熱い[あつい];私[わたし]のおばあちゃんは 熱[あつ]いお 茶[ちゃ]が 好[す]きです。;236
五日[いつか];五月[ごがつ]五日[いつか]は 子供[こども]の 日[ひ]だ。;237
自分で[じぶんで];私[わたし]は 自分[じぶん]で 料理[りょうり]します。;238
空[そら];空[そら]の 写真[しゃしん]を 撮[と]るのが 好[す]きです。;239
疲れる[つかれる];今日[きょう]は 疲[つか]れました。;240
押す[おす];後[うし]ろから 押[お]すと 危[あぶ]ないですよ。;241
渡す[わたす];彼[かれ]に 手紙[てがみ]を 渡[わた]しました。;242
張る[はる];テントを 川[かわ]の 側[そば]に 張[は]った。;243
働く[はたらく];姉[あね]は 銀行[ぎんこう]で 働[はたら]いています。;244
甘い[あまい];このいちごは 甘[あま]い。;245
地図[ちず];地図[ちず]を 見[み]て 来[き]てください。;246
住む[すむ];彼[かれ]は 会社[かいしゃ]の 近[ちか]くに 住[す]んでいる。;247
出口[でぐち];出口[でぐち]はあそこです。;248
兄[あに];兄[あに]はよく 泳[およ]ぐのが 好[す]きです。;249
両親[りょうしん];私[わたし]の 両親[りょうしん]は 大阪[おおさか]に 住[す]んでいます。;250
掛ける[かける];夫[おっと]の 服[ふく]をハンガーに 掛[か]けた。;251
家庭[かてい];彼[かれ]は 家庭[かてい]を 大切[たいせつ]にしている。;252
広い[ひろい];彼[かれ]の 家[いえ]はとても 広[ひろ]い。;253
先月[せんげつ];先月[せんげつ]、 友達[ともだち]の 結婚式[けっこんしき]があった。;254
誰か[だれか];誰[だれ]かに 聞[き]いてください。;255
答える[こたえる];私[わたし]の 質問[しつもん]に 答[こた]えてください。;256
立派[りっぱ];彼[かれ]は 立派[りっぱ]な 人[ひと]です。;257
肉[にく];昨日[きのう]の 夜[よる]は 肉[にく]をたくさん 食[た]べました。;258
映画[えいが];彼[かれ]はよく 映画[えいが]を 見[み]ます。;259
病院[びょういん];病院[びょういん]はどこですか。;261
出かける[でかける];彼女[かのじょ]はよく 出[で]かけますか？;262
電車[でんしゃ];私[わたし]は 電車[でんしゃ]で 学校[がっこう]に 行[い]きます。;263
番号[ばんごう];この 番号[ばんごう]に 電話[でんわ]してください。;264
借りる[かりる];彼[かれ]にビデオを 借[か]りました。;265
風邪[かぜ];私[わたし]は 風邪[かぜ]を 引[ひ]きました。;266
半[はん];それはケーキの 半分[はんぶん]です。;267
吸う[すう];タバコを 吸[す]いますか？;268
野菜[やさい];私[わたし]は 毎日[まいにち]たくさん 野菜[やさい]を 食[た]べます。;269
練習[れんしゅう];娘[むすめ]は 今[いま]、バイオリンを 練習[れんしゅう]しています。;270
酒[さけ];彼女[かのじょ]は 酒[さけ]に 強[つよ]い。;271
赤い[あかい];赤[あか]いバラを 買[か]いました。;272
貸す[かす];私[わたし]は 彼[かれ]に 本[ほん]を 貸[か]しています。;273
忙しい[いそがしい];忙[いそが]しいので 手伝[てつだ]ってください。;274
外国[がいこく];母[はは]はまだ 外国[がいこく]に 行[い]ったことがありません。;275
古い[ふるい];私[わたし]は 古[ふる]い 車[くるま]が 好[す]きです。;276
もう一度[もういちど];もう 一度[いちど] 見[み]せてください。;277
冷たい[つめたい];冷[つめ]たい 飲[の]み 物[もの]をください。;278
姉[あね];姉[あね]は 大学生[だいがくせい]です。;279
降る[ふる];明日[あす]は 雨[あめ]が 降[ふ]るでしょう。;280
服[ふく];昨日[きのう] 新[あたら]しい 服[ふく]を 買[か]った。;281
公園[こうえん];公園[こうえん]に 小[ちい]さな 池[いけ]があります。;282
弱い[よわい];その 子[こ]は 体[からだ]が 少[すこ]し 弱[よわ]い。;283
兄弟[きょうだい];彼[かれ]は３ 人[にん] 兄弟[きょうだい]です。;284
低い[ひくい];彼[かれ]は 背[せ]が 低[ひく]い。;285
渡る[わたる];私[わたし]たちは 歩[ある]いて 橋[はし]を 渡[わた]った。;286
日[にち];私[わたし]たちは 先月[せんげつ]十一日[じゅういちにち]に 結婚[けっこん]しました。;287
黒い[くろい];彼女[かのじょ]は 黒[くろ]いドレスを 着[き]ています。;288
後で[あとで];彼[かれ]らがいないので、 後[あと]で 彼[かれ]らと 話[はな]しに 行[い]く。;289
便利[べんり];インターネットはとても 便利[べんり]です。;290
横[よこ];横[よこ]の 長[なが]さは１メートルです。;291
犬[いぬ];この 犬[いぬ]はとても 静[しず]かです。;293
町[まち];雪[ゆき]が 町[まち]に 降[ふ]った。;294
赤[あか];信号[しんごう]が 赤[あか]に 変[か]わりました。;295
軽い[かるい];この 靴[くつ]はとても 軽[かる]い。;296
夏[なつ];私[わたし]は 夏[なつ]が 大好[だいす]き。;297
宿題[しゅくだい];宿題[しゅくだい]、 手伝[てつだ]ってくれない？;298
右[みぎ];右[みぎ]のポケットにハンカチが 入[はい]っています。;299
余り[あまり];このビールはあまり 美味[おい]しくありません。;300
静か[しずか];今年[ことし]の 夏休[なつやす]みには 静[しず]かな 所[ところ]へ 行[い]きたい。;301
左[ひだり];そこを 左[ひだり]に 曲[ま]がってください。;302
飛行機[ひこうき];息子[むすこ]は 飛行機[ひこうき]のおもちゃが 好[す]きです。;303
```
黒[くろ];黒[くろ]のボールペンはありますか。;Avez-vous un stylo noir?;308
薬[くすり];医者[いしゃ]から 薬[くすり]をもらいました。;J'ai reçu des médicaments de mon médecin.;319
風呂[ふろ];父[ちち]は 今[いま]お 風呂[ふろ]に 入[はい]っています。;Mon père est dans le bain actuellement.;328
青[あお];私[わたし]の 好[す]きな 色[いろ]は 青[あお]です。;La couleur que je préfère est le bleu.;331
茶[ちゃ];お 茶[ちゃ]を 飲[の]みませんか。;Ne boiriez-vous pas du thé ?;334
春[はる];今年[ことし]の 春[はる]は 暖[あたた]かいね。;Il fait chaud ce printemps, n'est-ce pas.;338
夏休み[なつやすみ];今日[きょう]が 夏休[なつやす]み 最後[さいご]の 日[ひ]だ。;Aujourd'hui est le dernier jour des vacances d'été.;353
出掛ける[でかける];主人[しゅじん]はもう 出[で]かけました。;Mon mari est déjà sorti.;362
勉強[べんきょう];英語[えいご]で 勉強[べんきょう]するのが 上手[じょうず]ですね。;Tu es doué pour les études en anglais.;364
文章[ぶんしょう];彼[かれ]は 文章[ぶんしょう]がとても 上手[うま]い。;Son style d'écriture est très bon.;365
買い物[かいもの];彼女[かのじょ]は 休日[きゅうじつ]になるとよく 買[か]い 物[もの]に 行[い]きます。 昨日[きのう]、 買[か]い 物[もの]に 行[い]きました。;Hier, je suis allé faire des courses.;366
毎月[まいつき];毎月[まいつき]ではありませんね。;Ce n'est pas tous les mois, n'est-ce pas ?;377
時半[じはん];今[いま]、 六時半[ろくじはん]です。;Il est six heures et demie maintenant.;381
無い[ない];ここには 何[なに]も 無[な]い。;Il n'y a rien ici.;386
昼[ひる];彼女[かのじょ]は 昼頃[ひるごろ]に 到着[とうちゃく]する。;Elle arrivera vers midi.;390
下さい[ください];水[みず]を 下[くだ]さい。;S'il vous plaît, donnez-moi de l'eau.;399
二十歳[はたち];妹[いもうと]は 来年[らいねん] 二十歳[はたち]になります。;Ma petite soeur aura 20 ans l'année prochaine.;403
九[きゅう];野球[やきゅう]は 九[きゅう] 人[にん]でひとチームです。;Au baseball, il y a neuf personnes dans une équipe.;404
どれ;この 中[なか]でどれが 好[す]きですか。;Lequel de ceux-ci aimez-vous?;405
結婚[けっこん];来月[らいげつ]、 結婚[けっこん]します。;Je me marie le mois prochain.;406
さあ;さあ 仕事[しごと]をはじめましょう。;Maintenant, commençons le travail !;409
西[にし];この 町[まち]は 東京[とうきょう]の 西[にし]にある。;Cette ville est située à l'ouest de Tokyo.;411
毎週[まいしゅう];私[わたし]は 毎週[まいしゅう] 母[はは]に 電話[でんわ]をします。;J'appelle ma mère chaque semaine.;428
もう;彼[かれ]はもう 宿題[しゅくだい]をやってしまった。;Il a déjà fini ses devoirs.;429
名前は[なまえは]？;弟[おとうと]の 名前[なまえ]は？;Quel est le nom de ton petit frère ?;434
より;昨日[きのう]より 寒[さむ]い。;Il fait plus froid qu'hier.;436
ページ;三十二[さんじゅうに]ページを 開[ひら]いてください。;Veuillez ouvrir à la page 32.;438
幾ら[いくら];この 果物[くだもの]は 幾[いく]らですか？;Combien coûte ce fruit ?;445
閉める[しめる];ドアを 閉[し]めてください。;Fermez la porte s'il vous plaît.;446
勤める[つとめる];私[わたし]は 銀行[ぎんこう]に 勤[つと]めています。;Je travaille pour une banque.;450
晴れる[はれる];晴[は]れるのを 待[ま]ちます。;attendre que le temps se dégage;455
黄色い[きいろい];彼女[かのじょ]に 黄色[きいろ]いばらを 買[か]いました。;Je lui ai acheté une rose jaune.;458
降りる[おりる];次[つぎ]の 駅[えき]で 降[お]ります。;Je descends à la prochaine station.;459
弾く[ひく];彼[かれ]はギターを 弾[ひ]きます。;Il joue de la guitare.;476
辺[へん];彼[かれ]はこの 辺[へん]に 住[す]んでいます。;Il vit dans ces environs.;483
居る[いる];可愛[かわい]い 女[おんな]の 子[こ]が 居[い]る。;Il y a une fille mignonne. ;493
鳴く[なく];どこかで 猫[ねこ]が 鳴[な]いている。;Un chat miaule quelque part.;494
茶色[ちゃいろ];茶色[ちゃいろ]い 熊[くま]が 川[かわ]の 中[なか]を 走[はし]っている。;L'ours brun court dans la rivière.;495
明後日[あさって];明後日[あさって]は 木曜日[もくようび]です。;Après-demain, c'est jeudi.;498
貴方[あなた];貴方[あなた]はアメリカ 人[じん]ですか。;es-tu américain ?;502
どこ;あの 本[ほん]を どこに 置[お]きましたか。;518
登る[のぼる];私[わたし]たちは 昨年[さくねん] 富士山[ふじさん]に 登[のぼ]りました。;524
アパート;彼[かれ]は アパートに 住[す]んでいます。;528
こちら;受付[うけつけ]はこちらです。;530
毎年[まいねん];毎年[まいねん] 給料[きゅうりょう]が 上[あ]がる。;532
八[はち];りんごを 八[はち]個[こ]ください。;537
あっち;郵便局[ゆうびんきょく]は あっちです。;542
締める[しめる];彼[かれ]は シートベルトを 締[し]めた。;545
ペン;ペンを 貸[か]してください。;554
大使館[たいしかん];彼[かれ]は 大使館[たいしかん]に 勤[つと]めています。;568
ですから;上手[じょうず]ですから、スキーが 好[す]きです。;580
レコード;ジャズの レコードを かけました。;585
暑い[あつい];今日[きょう]は とても 暑[あつ]い。;587
晴れ[はれ];明日[あした]の 天気[てんき]は 晴[は]れです。;590
マッチ;マッチを 持[も]っていますか。;596
八百屋[やおや];八百屋[やおや]で みかんを 買[か]いました。;600
年[とし];新[あたら]しい 年[とし]が 始[はじ]まりました。;601
いつ;彼女[かのじょ]は いつ 来[き]ますか。;602
曲がる[まがる];そこを 左[ひだり]に 曲[ま]がってください。;607
温い[ぬるい];風呂[ふろ]が 温[ぬる]かった。;621
履く[はく];彼女[かのじょ]は ブーツを 履[は]いています。;628
